Split,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
as C,165,650,582,64,142,28,1,17,70,3,2,54,126,0.245,0.313,0.389,0.703,226,14,5,4,4,5,5,0.282,95,100
as 1B,152,650,575,75,155,32,1,22,85,3,1,63,121,0.271,0.345,0.452,0.797,259,15,5,0,5,7,5,0.305,121,100
as 2B,151,649,586,75,152,29,4,12,62,13,4,47,103,0.26,0.32,0.389,0.709,228,11,6,5,4,2,6,0.294,97,100
as 3B,155,649,583,69,147,31,2,14,71,7,3,52,111,0.252,0.317,0.39,0.707,227,14,5,3,5,4,7,0.287,96,100
as SS,152,650,590,73,155,28,3,10,60,15,6,44,98,0.263,0.317,0.38,0.697,224,11,4,6,4,2,7,0.298,94,100
as LF,152,649,585,75,149,29,3,17,70,14,5,52,124,0.255,0.32,0.408,0.728,238,10,5,2,4,3,6,0.295,102,100
as CF,148,650,583,84,152,29,6,14,62,25,8,52,124,0.261,0.326,0.41,0.735,238,9,5,5,3,2,7,0.307,104,100
as RF,152,650,578,78,155,31,3,20,75,11,4,59,123,0.269,0.341,0.441,0.782,254,11,6,1,4,5,5,0.308,117,100
as DH,151,650,578,74,151,31,1,20,84,6,2,62,120,0.263,0.337,0.427,0.764,247,15,4,0,4,5,6,0.298,112,100
as P,283,649,556,29,78,12,0,3,31,3,1,21,213,0.141,0.175,0.182,0.357,101,6,1,69,0,0,5,0.221,0,100
