Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Christian Bethancourt,31,15,57,52,11,14,4,0,4,9,0,0,5,14,0.269,0.333,0.577,0.91,156,30,1,0,0,0,0,bethach01
2,1B,Yandy Díaz,31,23,102,87,19,26,3,0,6,15,0,0,12,15,0.299,0.392,0.54,0.932,165,47,2,2,0,1,0,diazya01
3,2B,Brandon Lowe*,28,21,82,70,17,16,1,0,6,15,1,0,12,27,0.229,0.341,0.5,0.841,138,35,1,0,0,0,0,lowebr01
4,SS,Wander Franco#,22,24,106,96,13,29,12,0,4,14,5,3,8,16,0.302,0.368,0.552,0.92,160,53,1,2,0,0,1,francwa01
5,3B,Isaac Paredes,24,22,83,74,11,16,1,0,3,12,0,0,5,16,0.216,0.301,0.351,0.653,87,26,1,4,0,0,0,paredis01
6,LF,Randy Arozarena,28,24,105,91,18,31,4,1,5,24,3,2,9,22,0.341,0.41,0.571,0.981,179,52,1,3,0,2,0,arozara01
7,CF,Manuel Margot,28,22,71,64,7,13,2,0,2,6,2,2,4,11,0.203,0.254,0.328,0.582,66,21,1,1,0,2,0,margoma01
8,RF,Josh Lowe*,25,18,68,64,12,21,7,0,4,16,4,0,4,13,0.328,0.368,0.625,0.993,179,40,0,0,0,0,0,lowejo01
9,DH,Harold Ramírez,28,19,72,65,12,23,4,1,5,11,0,0,6,13,0.354,0.417,0.677,1.094,208,44,0,1,0,0,0,ramirha02
10,UT,Luke Raley*,28,18,58,51,5,9,2,0,4,9,0,1,4,20,0.176,0.259,0.451,0.71,99,23,0,2,0,1,0,raleylu01
11,IF,Taylor Walls#,26,16,56,48,16,15,3,1,3,8,2,0,7,8,0.313,0.411,0.604,1.015,187,29,0,1,0,0,0,wallsta01
12,C,Francisco Mejía#,27,12,41,36,6,8,2,0,0,4,0,0,4,12,0.222,0.293,0.278,0.57,66,10,0,0,0,1,0,mejiafr01
13,CF,Jose Siri,27,8,30,27,5,7,2,0,2,8,1,0,2,9,0.259,0.3,0.556,0.856,139,15,1,0,0,1,0,sirijo01
14,UT,Vidal Bruján# (40-man),25,11,21,20,5,5,0,0,0,3,0,1,0,7,0.25,0.286,0.25,0.536,56,5,1,1,0,0,0,brujavi01
